visitor_id,visitor_type,step,timestamp,event_type,ride_name,queue_position,wait_time,details
P038,impatient,38,2025-10-11T03:12:15.592346,departed,,,,"{""total_rides"": 0}"
P039,explorer,56,2025-10-11T03:12:15.990505,departed,,,,"{""total_rides"": 0}"
P040,adventurer,160,2025-10-11T03:12:16.991566,departed,,,,"{""total_rides"": 0}"
P041,family,57,2025-10-11T03:12:16.021426,departed,,,,"{""total_rides"": 0}"
P042,impatient,35,2025-10-11T03:12:15.511214,joined_queue,Ride2,2,,"{""ride_name"": ""Ride2"", ""queue_position"": 2}"
P042,impatient,37,2025-10-11T03:12:15.564522,boarded_ride,Ride2,,2,"{""ride_name"": ""Ride2""}"
P042,impatient,80,2025-10-11T03:12:16.323232,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
P042,impatient,156,2025-10-11T03:12:16.985798,departed,,,,"{""total_rides"": 2}"
P043,explorer,162,2025-10-11T03:12:16.993757,departed,,,,"{""total_rides"": 0}"
P044,adventurer,19,2025-10-11T03:12:15.300947,joined_queue,Ride1,8,,"{""ride_name"": ""Ride1"", ""queue_position"": 8}"
P044,adventurer,23,2025-10-11T03:12:15.345548,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P044,adventurer,58,2025-10-11T03:12:16.044635,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P044,adventurer,64,2025-10-11T03:12:16.161726,joined_queue,Ride1,6,,"{""ride_name"": ""Ride1"", ""queue_position"": 6}"
P044,adventurer,75,2025-10-11T03:12:16.278264,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 75, ""ride_id"": ""Ride1"", ""queue_len"": 6, ""patience_at_leave"": 14}"
P044,adventurer,76,2025-10-11T03:12:16.286070,joined_queue,Ride1,7,,"{""ride_name"": ""Ride1"", ""queue_position"": 7}"
P044,adventurer,86,2025-10-11T03:12:16.376824,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 86, ""ride_id"": ""Ride1"", ""queue_len"": 7, ""patience_at_leave"": 9}"
